cohort_split,feature_name,available_count,missing_count,participant_count,coverage_pct
evaluation,ados_total,26,141,167,15.6
train,ados_total,389,555,944,41.2
evaluation,aq_total,0,167,167,0.0
train,aq_total,56,888,944,5.9
evaluation,comorbidity,0,167,167,0.0
train,comorbidity,71,873,944,7.5
evaluation,dsm_iv_code,165,2,167,98.8
train,dsm_iv_code,874,70,944,92.6
evaluation,full_scale_iq,163,4,167,97.6
train,full_scale_iq,876,68,944,92.8
evaluation,performance_iq,163,4,167,97.6
train,performance_iq,767,177,944,81.3
evaluation,scq_total,0,167,167,0.0
train,scq_total,123,821,944,13.0
evaluation,srs_raw_total,0,167,167,0.0
train,srs_raw_total,364,580,944,38.6
evaluation,verbal_iq,167,0,167,100.0
train,verbal_iq,749,195,944,79.3
